route_id,trip_id
SILVER EVENING SATURDAY,[@124.0.92284627@][1484347218447]/173__SV2UISA
TEAL SUNDAY,[@4.0.6086413@][1597347888414]/33__T2_NONUI_SU_V1
TEAL,[@4.0.6079335@][1597347351575]/67__T1_UIMF_V1
GREEN SATURDAY,[@7.0.41202550@][4][1248701836140]/1__GN2UISA
RED,[@4.0.5898288@][1597169152898]/38__R3_MF_V1
BRONZE,[@15.0.63192037@][3][1337951976131]/1__BZ1_NOSCHMF
LIME SATURDAY,[@124.0.94415201@][12][1496415811662]/23__LM2SA
SILVER,[@12.0.42199629@][3][1246896440906]/11__SV3_UIMF
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/1__GR2_SU
PINK,[@2.0.81838518@][11][1430160303820]/9__P1_MF
BROWN,[@6.0.626596@][1601838465133]/45__BA2_NOSCHMF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/51__SV1_NONUISU
SILVER LIMITED EVENING,[@15.0.67924657@][2][1363728725942]/90__SV2_NONUIMF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/151__T1NON_UI_SA
RUBY,[@15.0.64600293@][2][1339519291486]/11__RUB2_MF
SILVER,[@12.0.42199629@][3][1246896590515]/32__SV2_NONUIMF
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/86__I1NONUISA
GREEN EVENING,[@7.0.41201218@][3][1243953754500]/6__GNX5_MF
SILVER,[@12.0.42199629@][3][1246896590515]/53__SV3_UIMF
GREENHOPPER EVENING,[@14.0.50384734@][1270492238828]/1__R3_MF
TEAL SATURDAY,[@12.0.44194660@][1250946648828]/137__T1UISA
YELLOWHOPPER,[@15.0.63189099@][1][1334167904665]/8__Y2_MF
TEAL EVENING,[@7.0.41903462@][3][1243545697437]/25__T3_NONUIMF
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/21__Y5_NONUI_SU_V1
LAVENDER SUNDAY,[@15.0.71205318@][1381241976567]/10__L1SU
SILVER SUNDAY,[@4.0.6324432@][1597517220831]/48__SV2UISU_V1
ILLINI LIMITED,[@7.0.41202961@][1][1238522030312]/18__I1_NONUIMF
YELLOW EVENING,[@4.0.5867728@][1597168420258]/2__Y3_NON_UI_MF_V1
LAVENDER SATURDAY,[@15.0.63188981@][1][1334071343101]/2__L2SA
NAVY,[@124.0.103534744@][31][1510337336593]/5__N1_MF
GREEN ALT,[@4.0.3875261@][32][1598551715702]/0__5E/5W_HUSch_MF
TEAL,[@7.0.41893871@][3][1243541396687]/79__T4_UIMF
SILVER,[@12.0.42199629@][4][1246896960625]/99__SV3_UIMF
GREENHOPPER,[@4.0.5978260@][1597257417676]/27__GN8_MF_V1
GREEN SUNDAY,[@124.0.92334988@][1484579202830]/33__GN3_SU
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/44__GN3UISA_V1
10W GOLD ALT,[@36.0.28512748@][4][1175208157878]/0__10W_UHS_UMS_SCH
SILVER EVENING,[@4.0.6315454@][1597516821409]/20__SV4_UI_NOSCH_V1
TEAL,[@7.0.41893871@][4][1243540851671]/5__T2_UIMF
TEAL SATURDAY,[@4.0.6085223@][1597347822512]/55__T2UISA_V1
GREEN SATURDAY,[@4.0.5991526@][1597257671213]/31__LM2SA_V1
SILVER,[@12.0.42199629@][3][1246896590515]/37__SV5_UIMF
YELLOW SUNDAY,[@4.0.5882677@][1597168773965]/3__Y2_NONUI_SU_V1
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/47__T2_NONUI_SU
GREY SUNDAY,[@2.0.85633657@][32][1463429698711]/2__GR1_SU
YELLOW,[@4.0.5891782@][1597169066281]/65__Y2_MF_V1
GREENHOPPER,[@7.0.41101146@][4][1237930167062]/31__GN8_SCH
ILLINI LIMITED SATURDAY,[@12.0.44202283@][1250947454031]/77__I1UISA
ORANGE,[@2.0.86175868@][1458585713139]/16__GN7_MF_V1
RED SATURDAY,20RED002__R1SA
BLUE,[@4.0.5955594@][1597257189746]/40__B2_MF_V1
GREEN EXPRESS,[@15.0.70780071@][31][1395669399270]/1__GN6_NOSCH
SILVER LIMITED SATURDAY,[@15.0.67916770@][1][1363722440092]/80__SV1_NON_UI_SA
GREENHOPPER EVENING,[@4.0.5987858@][1597257569370]/3__GN5_MF_V1
SILVER,[@12.0.42199629@][4][1246896833000]/71__SV1_UIMF
TEAL,[@4.0.6079335@][1597347351575]/9__T3_NONUIMF_V1
ILLINI,[@7.0.41200832@][1][1238430397015]/132__I4_UIMF1
SILVER LIMITED SATURDAY,[@15.0.67916770@][2][1363721639425]/18__SV1_NON_UI_SA
TEAL SUNDAY,[@124.0.92229742@][1484323714302]/126__T2UISU
GREEN,[@14.0.51573013@][4][1283961701437]/0__GN1_MF
GREY,4GR781__GNX5_MF
TEAL,[@7.0.41893871@][3][1243541396687]/91__T1_NONUIMF
ILLINI EVENING,[@4.0.6329571@][1597517389214]/111__I8_UIMF_V1
GREEN EVENING,[@4.0.5972609@][1597257368084]/14__Y7_UIMF_V1
BLUE,[@4.0.5955594@][1597257189746]/6__B2_MF_V1
SILVER,[@12.0.42199629@][3][1246896590515]/64__SV4_NONUIMF_NOSCH
TEAL,[@14.0.51708725@][4][1275506079140]/12__T4_UIMF
SILVER,[@12.0.42199629@][4][1246896833000]/84__SV2_NONUIMF
GREY SATURDAY,[@15.0.73008535@][32][1401899327184]/43__GN2UISA
1S YELLOW ALT,[@36.0.28512730@][4][1175210801785]/6__1S-8E_SHOW_SCH
TEAL,[@7.0.41893871@][4][1243540851671]/34__T4_UIMF
BROWN,[@6.0.626596@][1601838465133]/34__R2_MF_V1
GREEN,[@4.0.5960707@][1597257255963]/87__GN5_MF_V1
ILLINI EVENING SUNDAY,[@4.0.6338167@][1597517767548]/68__I1UI_SU_V1
RUBY,[@15.0.64600293@][1][1342035496975]/0__RUB1_MF
GREEN LATE NIGHT SUNDAY,[@124.0.92345918@][1484579847669]/6__GR3_UISU
SILVER EVENING SUNDAY,[@4.0.6318298@][1597516914744]/28__SV1UISU_V1
TEAL EVENING,[@4.0.6083631@][1597347546580]/5__T2_UIMF_V1
SILVER,[@12.0.42199629@][3][1246896590515]/43__SV4_NONUIMF_NOSCH
RED,[@4.0.5898288@][1597169152898]/23__GN8_MF_V1
SILVER LIMITED SUNDAY,[@124.0.92241454@][1484326515007]/63__SV1_NONUISU
LIME SATURDAY,[@124.0.94415201@][11][1496415327969]/11__LM1SA
SILVER LIMITED EVENING,[@4.0.6322539@][1597517126188]/8__SV2_NONUIMF_V1
GREY,[@2.0.80545657@][31][1425487417760]/3__GR1_NOSCHMF
GREEN SATURDAY,GN3SATPO__GN2_NON_UI_SA
LIME SUNDAY,[@124.0.94415718@][12][1496267134824]/17__LM2SU
YELLOW LATE NIGHT SUNDAY,[@124.0.92330667@][1484578259855]/22__Y5UISU
GREY EVENING,[@15.0.68508995@][4][1368817506253]/1__GR3_NON_UI_MF_V1
YELLOW,[@15.0.63189004@][2][1340829029385]/16__Y3UIMF
SILVER,[@12.0.42199629@][4][1246896960625]/111__SV4_UI_NOSCH
GREEN SUNDAY,[@4.0.6003662@][1597257871006]/28__GR3_UISU_V1
YELLOW,[@4.0.5891782@][1597169066281]/30__Y1UIMF_V1
ORANGE,[@2.0.86175868@][1458585713139]/54__O1_MF
NAVY,[@124.0.103534744@][31][1510337405478]/12__N2_MF
ILLINI LIMITED SATURDAY,[@4.0.6334500@][1597517567085]/34__I1UISA_V1
TEAL LATE NIGHT SATURDAY,[@4.0.6087513@][1597347966633]/3__T2UISA_V1
SILVER,[@12.0.42199629@][3][1246896590515]/50__SV1_UIMF
TEAL,[@7.0.41893871@][3][1243541396687]/77__T1_NONUIMF
ORANGE,[@2.0.86175868@][1458585713139]/5__O2_MF
TEAL,[@124.0.111414163@][31][1526588390334]/0__T5_UIMF
