service_id,date,exception_type
B2 MF V1,20200831,1
B2 MF V1,20200901,1
B2 MF V1,20200902,1
B2 MF V1,20200903,1
B2 MF V1,20200904,1
B2 MF V1,20200908,1
B2 MF V1,20200909,1
B2 MF V1,20200910,1
B2 MF V1,20200911,1
B2 MF V1,20200914,1
B2 MF V1,20200915,1
B2 MF V1,20200916,1
B2 MF V1,20200917,1
B2 MF V1,20200918,1
B2 MF V1,20200921,1
B2 MF V1,20200922,1
B2 MF V1,20200923,1
B2 MF V1,20200924,1
B2 MF V1,20200925,1
B2 MF V1,20200928,1
B2 MF V1,20200929,1
B2 MF V1,20200930,1
B2 MF V1,20201001,1
B2 MF V1,20201002,1
B2 MF V1,20201005,1
B2 MF V1,20201006,1
B2 MF V1,20201007,1
B2 MF V1,20201008,1
B2 MF V1,20201009,1
B2 MF V1,20201012,1
B2 MF V1,20201013,1
B2 MF V1,20201014,1
B2 MF V1,20201015,1
B2 MF V1,20201016,1
B2 MF V1,20201019,1
B2 MF V1,20201020,1
B2 MF V1,20201021,1
B2 MF V1,20201022,1
B2 MF V1,20201023,1
B2 MF V1,20201026,1
B2 MF V1,20201027,1
B2 MF V1,20201028,1
B2 MF V1,20201029,1
B2 MF V1,20201030,1
B2 MF V1,20201102,1
B2 MF V1,20201103,1
B2 MF V1,20201104,1
B2 MF V1,20201105,1
B2 MF V1,20201106,1
B2 MF V1,20201109,1
B2 MF V1,20201110,1
B2 MF V1,20201111,1
B2 MF V1,20201112,1
B2 MF V1,20201113,1
GN1SA V1,20200822,1
GN1SA V1,20200829,1
GN1SA V1,20200905,1
GN1SA V1,20200912,1
GN1SA V1,20200919,1
GN1SA V1,20200926,1
GN1SA V1,20201003,1
GN1SA V1,20201010,1
GN1SA V1,20201017,1
GN1SA V1,20201024,1
GN1SA V1,20201031,1
GN1SA V1,20201107,1
16B#2 SHOW SCH,20200824,1
16B#2 SHOW SCH,20200825,1
16B#2 SHOW SCH,20200827,1
16B#2 SHOW SCH,20200828,1
16B#2 SHOW SCH,20200831,1
16B#2 SHOW SCH,20200901,1
16B#2 SHOW SCH,20200903,1
16B#2 SHOW SCH,20200904,1
16B#2 SHOW SCH,20200908,1
16B#2 SHOW SCH,20200910,1
16B#2 SHOW SCH,20200911,1
16B#2 SHOW SCH,20200914,1
16B#2 SHOW SCH,20200915,1
16B#2 SHOW SCH,20200917,1
16B#2 SHOW SCH,20200918,1
16B#2 SHOW SCH,20200921,1
16B#2 SHOW SCH,20200922,1
16B#2 SHOW SCH,20200924,1
16B#2 SHOW SCH,20200925,1
